2021-12-13 11:09:30 INFO::Writing function arguments to log file
2021-12-13 11:09:30 DEBUG::Function arguments
2021-12-13 11:09:30 DEBUG::Output folder: T3_community-level/altitude_maaslin_output
2021-12-13 11:09:30 DEBUG::Min Abundance: 0.000000
2021-12-13 11:09:30 DEBUG::Min Prevalence: 0.100000
2021-12-13 11:09:30 DEBUG::Normalization: NONE
2021-12-13 11:09:30 DEBUG::Transform: LOG
2021-12-13 11:09:30 DEBUG::Analysis method: LM
2021-12-13 11:09:30 DEBUG::Max significance: 0.250000
2021-12-13 11:09:30 DEBUG::Random effects:
2021-12-13 11:09:30 DEBUG::Fixed effects: Spec.subspecies,Approximate.altitude
2021-12-13 11:09:30 DEBUG::Correction method: BH
2021-12-13 11:09:30 DEBUG::Standardize: TRUE
2021-12-13 11:09:30 DEBUG::Cores: 1
2021-12-13 11:09:30 INFO::Verifying options selected are valid
2021-12-13 11:09:30 INFO::Determining format of input files
2021-12-13 11:09:30 INFO::Input format is data samples as rows and metadata samples as rows
2021-12-13 11:09:30 DEBUG::A total of 46 samples were found in both the data and metadata
2021-12-13 11:09:30 DEBUG::Reordering data/metadata to use same sample ordering
2021-12-13 11:09:34 INFO::Fitting model to feature number 268, X168471
2021-12-13 11:09:34 INFO::Fitting model to feature number 269, X2811415
2021-12-13 11:09:34 INFO::Fitting model to feature number 270, X916
2021-12-13 11:09:34 INFO::Fitting model to feature number 271, X649841
2021-12-13 11:09:34 INFO::Fitting model to feature number 272, X196
2021-12-13 11:09:34 INFO::Fitting model to feature number 273, X197
2021-12-13 11:09:34 INFO::Fitting model to feature number 274, X255507
2021-12-13 11:09:34 INFO::Fitting model to feature number 275, X210
2021-12-13 11:09:34 INFO::Fitting model to feature number 276, X2847989
2021-12-13 11:09:34 INFO::Fitting model to feature number 277, X2220073
2021-12-13 11:09:34 INFO::Fitting model to feature number 278, X33059
2021-12-13 11:09:34 INFO::Fitting model to feature number 279, X117567
2021-12-13 11:09:34 INFO::Fitting model to feature number 280, X67081
2021-12-13 11:09:34 INFO::Fitting model to feature number 281, X258505
2021-12-13 11:09:34 INFO::Fitting model to feature number 282, X319707
2021-12-13 11:09:34 INFO::Fitting model to feature number 283, X1968788
2021-12-13 11:09:34 INFO::Fitting model to feature number 284, X1804
2021-12-13 11:09:34 INFO::Fitting model to feature number 285, X1800
2021-12-13 11:09:34 INFO::Fitting model to feature number 286, X1286181
2021-12-13 11:09:34 INFO::Fitting model to feature number 287, X39694
2021-12-13 11:09:34 INFO::Fitting model to feature number 288, X57704
2021-12-13 11:09:34 INFO::Fitting model to feature number 289, X37329
2021-12-13 11:09:34 INFO::Fitting model to feature number 290, X225326
2021-12-13 11:09:34 INFO::Fitting model to feature number 291, X43770
2021-12-13 11:09:34 INFO::Fitting model to feature number 292, X349751
2021-12-13 11:09:34 INFO::Fitting model to feature number 293, X2676309
2021-12-13 11:09:34 INFO::Fitting model to feature number 294, X36822
2021-12-13 11:09:34 INFO::Fitting model to feature number 295, X84595
2021-12-13 11:09:34 INFO::Fitting model to feature number 296, X2831662
2021-12-13 11:09:34 INFO::Fitting model to feature number 297, X121292
2021-12-13 11:09:34 INFO::Fitting model to feature number 298, X2772401
2021-12-13 11:09:34 INFO::Fitting model to feature number 299, X85085
2021-12-13 11:09:34 INFO::Fitting model to feature number 300, X2697569
2021-12-13 11:09:34 INFO::Fitting model to feature number 301, X361575
2021-12-13 11:09:34 INFO::Fitting model to feature number 302, X1155384
2021-12-13 11:09:34 INFO::Fitting model to feature number 303, X256701
2021-12-13 11:09:34 INFO::Fitting model to feature number 304, X37930
2021-12-13 11:09:34 INFO::Fitting model to feature number 305, X1933880
2021-12-13 11:09:34 INFO::Fitting model to feature number 306, X37929
2021-12-13 11:09:34 INFO::Fitting model to feature number 307, X2735316
2021-12-13 11:09:34 INFO::Fitting model to feature number 308, X37931
2021-12-13 11:09:34 INFO::Fitting model to feature number 309, X43663
2021-12-13 11:09:34 INFO::Fitting model to feature number 310, X2567881
2021-12-13 11:09:34 INFO::Fitting model to feature number 311, X2609253
2021-12-13 11:09:34 INFO::Fitting model to feature number 312, X2609252
2021-12-13 11:09:34 INFO::Fitting model to feature number 313, X1926290
2021-12-13 11:09:34 INFO::Fitting model to feature number 314, X670052
2021-12-13 11:09:34 INFO::Fitting model to feature number 315, X1795630
2021-12-13 11:09:34 INFO::Fitting model to feature number 316, X28447
2021-12-13 11:09:34 INFO::Fitting model to feature number 317, X2282656
2021-12-13 11:09:34 INFO::Fitting model to feature number 318, X1619308
2021-12-13 11:09:34 INFO::Fitting model to feature number 319, X1710
